년월,races,m_BOX4_bet,m_BOX4_refund,m_BOX4_hit,m_BOX6_bet,m_BOX6_refund,m_BOX6_hit,p_BOX4_bet,p_BOX4_refund,p_BOX4_hit,p_BOX6_bet,p_BOX6_refund,p_BOX6_hit,m_BOX4_refund_rate,m_BOX4_roi,m_BOX6_refund_rate,m_BOX6_roi,p_BOX4_refund_rate,p_BOX4_roi,p_BOX6_refund_rate,p_BOX6_roi
202312,152,60800,144170.0,32,304000,391110.0,72,60800,84880.0,27,304000,317220.0,66,2.371217105263158,1.3712171052631579,1.2865460526315788,0.28654605263157895,1.3960526315789474,0.3960526315789474,1.0434868421052632,0.04348684210526316
202401,121,48400,33890.0,11,242000,250280.0,40,48400,94290.0,21,242000,215980.0,54,0.7002066115702479,-0.29979338842975206,1.0342148760330578,0.03421487603305785,1.9481404958677686,0.9481404958677686,0.8924793388429753,-0.1075206611570248
202402,82,32800,15060.0,8,164000,56250.0,18,32800,47320.0,16,164000,127150.0,30,0.45914634146341465,-0.5408536585365854,0.3429878048780488,-0.6570121951219512,1.4426829268292682,0.4426829268292683,0.7753048780487805,-0.22469512195121952
202403,156,62400,86160.0,20,312000,221580.0,60,62400,63170.0,30,312000,291570.0,75,1.3807692307692307,0.38076923076923075,0.7101923076923077,-0.2898076923076923,1.0123397435897437,0.01233974358974359,0.9345192307692308,-0.06548076923076923
202404,125,50000,55000.0,27,250000,283100.0,55,50000,68450.0,27,250000,278810.0,63,1.1,0.1,1.1324,0.1324,1.369,0.369,1.11524,0.11524
202405,133,53200,66170.0,28,266000,380390.0,74,53200,42340.0,26,266000,326190.0,75,1.243796992481203,0.243796992481203,1.4300375939849623,0.4300375939849624,0.7958646616541354,-0.20413533834586467,1.2262781954887219,0.2262781954887218
202406,145,58000,95420.0,34,290000,257900.0,71,58000,103100.0,36,290000,303770.0,78,1.6451724137931034,0.6451724137931034,0.8893103448275862,-0.11068965517241379,1.7775862068965518,0.7775862068965518,1.0474827586206896,0.04748275862068965
202407,104,41600,47520.0,19,208000,362600.0,49,41600,33680.0,17,208000,350350.0,47,1.1423076923076922,0.1423076923076923,1.7432692307692308,0.7432692307692308,0.8096153846153846,-0.19038461538461537,1.684375,0.684375
202408,127,50800,40520.0,25,254000,229830.0,63,50800,47180.0,29,254000,172250.0,59,0.7976377952755905,-0.20236220472440944,0.9048425196850394,-0.09515748031496063,0.9287401574803149,-0.07125984251968503,0.6781496062992126,-0.3218503937007874
202409,93,37200,55380.0,22,186000,207760.0,40,37200,133390.0,24,186000,320590.0,43,1.488709677419355,0.48870967741935484,1.116989247311828,0.11698924731182796,3.585752688172043,2.585752688172043,1.7236021505376344,0.7236021505376344
202410,109,43600,56940.0,16,218000,265430.0,54,43600,77140.0,18,218000,227660.0,52,1.3059633027522937,0.30596330275229355,1.2175688073394495,0.21756880733944955,1.7692660550458716,0.7692660550458715,1.0443119266055045,0.044311926605504585
202411,121,48400,56010.0,35,242000,131310.0,55,48400,68740.0,37,242000,214030.0,63,1.1572314049586776,0.15723140495867768,0.542603305785124,-0.45739669421487605,1.4202479338842975,0.42024793388429754,0.8844214876033057,-0.11557851239669421
202412,120,48000,98480.0,24,240000,365000.0,48,48000,76330.0,21,240000,262140.0,51,2.0516666666666667,1.0516666666666667,1.5208333333333333,0.5208333333333334,1.5902083333333332,0.5902083333333333,1.09225,0.09225
202501,112,44800,67350.0,18,224000,529160.0,49,44800,63940.0,20,224000,339840.0,54,1.5033482142857142,0.5033482142857143,2.3623214285714287,1.3623214285714285,1.4272321428571428,0.42723214285714284,1.5171428571428571,0.5171428571428571
202502,82,32800,42920.0,13,164000,172410.0,34,32800,55930.0,12,164000,231080.0,38,1.3085365853658537,0.30853658536585366,1.051280487804878,0.051280487804878046,1.7051829268292682,0.7051829268292683,1.4090243902439024,0.4090243902439024
202503,125,50000,96470.0,26,250000,370780.0,58,50000,89660.0,26,250000,260710.0,60,1.9294,0.9294,1.48312,0.48312,1.7932,0.7932,1.04284,0.04284
202504,105,42000,37570.0,18,210000,161050.0,37,42000,37570.0,18,210000,205220.0,42,0.8945238095238095,-0.10547619047619047,0.7669047619047619,-0.2330952380952381,0.8945238095238095,-0.10547619047619047,0.9772380952380952,-0.02276190476190476
202505,126,50400,72520.0,29,252000,239930.0,64,50400,84130.0,24,252000,251150.0,69,1.4388888888888889,0.4388888888888889,0.9521031746031746,-0.047896825396825396,1.6692460317460318,0.6692460317460317,0.9966269841269841,-0.003373015873015873
202506,133,53200,77180.0,32,266000,590710.0,73,53200,90150.0,30,266000,383490.0,72,1.450751879699248,0.4507518796992481,2.2207142857142856,1.2207142857142856,1.6945488721804511,0.6945488721804511,1.4416917293233082,0.44169172932330825
202507,102,40800,50350.0,25,204000,234870.0,57,40800,46720.0,25,204000,487550.0,63,1.2340686274509804,0.2340686274509804,1.1513235294117647,0.15132352941176472,1.1450980392156862,0.1450980392156863,2.389950980392157,1.3899509803921568
202508,136,54400,157830.0,37,272000,459230.0,94,54400,148480.0,44,272000,506280.0,94,2.9012867647058824,1.9012867647058824,1.688345588235294,0.6883455882352941,2.7294117647058824,1.7294117647058824,1.8613235294117647,0.8613235294117647
202509,115,46000,100900.0,31,230000,393770.0,75,46000,93970.0,28,230000,362170.0,67,2.1934782608695653,1.1934782608695653,1.7120434782608696,0.7120434782608696,2.042826086956522,1.0428260869565218,1.5746521739130435,0.5746521739130435
202510,99,39600,116840.0,31,198000,300640.0,63,39600,93030.0,29,198000,311460.0,60,2.9505050505050505,1.9505050505050505,1.5183838383838384,0.5183838383838384,2.349242424242424,1.3492424242424241,1.573030303030303,0.573030303030303
202511,146,58400,119630.0,52,292000,628900.0,97,58400,135420.0,53,292000,344740.0,97,2.048458904109589,1.048458904109589,2.1537671232876714,1.1537671232876712,2.3188356164383563,1.3188356164383561,1.1806164383561644,0.1806164383561644
202512,93,37200,76720.0,17,186000,188060.0,38,37200,93250.0,17,186000,192080.0,43,2.0623655913978496,1.0623655913978494,1.0110752688172042,0.011075268817204302,2.506720430107527,1.506720430107527,1.0326881720430108,0.032688172043010756
